ticker,industry,sector
A,Diagnostics & Research,Health Care
AACAY,Communication Equipment,Information Technology
AAON,Building Products & Equipment,Industrials
AAP,Specialty Retail,Consumer Discretionary
AAPL,Consumer Electronics,Information Technology
AAT,REIT—Diversified,Real Estate
AAV.TO,Oil & Gas E&P,Energy
AAVVF,Oil & Gas E&P,Energy
ABB,Electrical Equipment & Parts,Industrials
ABC,Medical Distribution,Health Care
ABEV,Beverages—Brewers,Consumer Staples
ABG,Auto & Truck Dealerships,Consumer Discretionary
ABLZF,Electrical Equipment & Parts,Industrials
ABM,Specialty Business Services,Industrials
ABST.TO,Software—Application,Information Technology
ABT,Medical Devices,Health Care
ABX.TO,Gold,Materials
ACCO,Business Equipment & Supplies,Industrials
ACCYY,Lodging,Consumer Discretionary
ACHC,Medical Care Facilities,Health Care
ACIW,Software—Infrastructure,Information Technology
ACM,Engineering & Construction,Industrials
ACN,Information Technology Services,Information Technology
ACNT,Steel,Materials
ACQ.TO,Auto & Truck Dealerships,Consumer Discretionary
ACU,Household & Personal Products,Consumer Staples
ADBE,Software—Infrastructure,Information Technology
ADC,REIT—Retail,Real Estate
ADDDF,Footwear & Accessories,Consumer Discretionary
ADDYY,Footwear & Accessories,Consumer Discretionary
ADEA,Software—Application,Information Technology
ADEN.TO,Industrial Distribution,Industrials
ADI,Semiconductors,Information Technology
ADM,Farm Products,Consumer Staples
ADN.TO,Lumber & Wood Production,Materials
ADP,Staffing & Employment Services,Industrials
ADRNY,Grocery Stores,Consumer Staples
ADUS,Medical Care Facilities,Health Care
AE,Oil & Gas Refining & Marketing,Energy
AEE,Utilities—Regulated Electric,Utilities
AEIS,Electrical Equipment & Parts,Industrials
AEM,Gold,Materials
AEM.TO,Gold,Materials
AEO,Apparel Retail,Consumer Discretionary
AEP,Utilities—Regulated Electric,Utilities
AER,Rental & Leasing Services,Industrials
AES,Utilities—Diversified,Utilities
AETUF,Oil & Gas E&P,Energy
AFN.TO,Farm & Heavy Construction Machinery,Industrials
AG,Silver,Materials
AGCO,Farm & Heavy Construction Machinery,Industrials
AGRO,Farm Products,Consumer Staples
AGX,Engineering & Construction,Industrials
AHCHY,Building Materials,Materials
AHKSY,Chemicals,Materials
AHODF,Grocery Stores,Consumer Staples
AHT,REIT—Hotel & Motel,Real Estate
AIF.TO,Real Estate Services,Real Estate
AIN,Textile Manufacturing,Consumer Discretionary
AIQUY,Specialty Chemicals,Materials
AIR,Aerospace & Defense,Industrials
AIRT,Integrated Freight & Logistics,Industrials
AIT,Industrial Distribution,Industrials
AJG,Insurance Brokers,Financials
AJRD,Aerospace & Defense,Industrials
AKAM,Software—Infrastructure,Information Technology
AKR,REIT—Retail,Real Estate
AKZOF,Specialty Chemicals,Materials
AKZOY,Specialty Chemicals,Materials
AL,Rental & Leasing Services,Industrials
ALA.TO,Oil & Gas Midstream,Energy
ALB,Specialty Chemicals,Materials
ALC.TO,Marine Shipping,Industrials
ALCO,Farm Products,Consumer Staples
ALE,Utilities—Diversified,Utilities
